id,satisfaction_v2,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
7756,satisfied,Female,Loyal Customer,16,Personal Travel,Eco,,0,2,0,3,3,0,3,3,1,3,3,4,2,3,0,0
121326,satisfied,Male,Loyal Customer,10,Personal Travel,Eco,1863,0,2,0,3,4,0,4,4,1,3,4,2,3,4,0,0
88903,satisfied,Male,Loyal Customer,17,Personal Travel,Eco,2410,0,2,0,3,1,,1,1,4,5,3,1,4,1,0,0
18306,satisfied,Female,Loyal Customer,33,Personal Travel,Eco Plus,2359,0,2,0,3,3,0,4,3,2,1,4,4,4,3,0,0
43497,satisfied,Male,Loyal Customer,70,Personal Travel,Eco,1686,0,2,0,3,1,0,1,1,3,1,2,3,2,1,0,0
78516,satisfied,Female,Loyal Customer,45,Personal Travel,Eco,673,0,2,0,3,1,2,3,3,3,0,3,1,3,2,3,1
59237,satisfied,Female,Loyal Customer,32,Personal Travel,Eco,1657,0,2,0,3,2,0,2,,2,2,4,4,4,,0,3
16804,satisfied,Male,Loyal Customer,65,Personal Travel,Business,651,0,2,0,3,3,4,4,3,3,0,3,1,3,2,0,0
51741,satisfied,Female,Loyal Customer,65,Personal Travel,Eco,614,0,2,0,3,4,5,5,2,2,0,2,4,2,3,,80
72193,satisfied,Female,Loyal Customer,20,Personal Travel,Eco,1894,0,2,0,3,1,2,1,1,2,3,4,1,4,1,0,3
13205,satisfied,Male,Loyal Customer,17,Personal Travel,Eco Plus,1911,0,2,0,3,,0,5,5,2,5,2,1,2,5,0,0
77905,satisfied,Female,Loyal Customer,30,Personal Travel,Eco,1647,0,2,0,3,,0,3,3,3,1,4,3,4,3,3,0
120465,satisfied,Male,Loyal Customer,24,Personal Travel,Eco,1856,0,2,0,3,5,0,3,5,2,5,4,2,3,5,1,0
51800,satisfied,Female,Loyal Customer,39,Personal Travel,Eco,1642,0,2,0,3,5,0,5,5,3,3,4,3,3,5,,0
91216,satisfied,Female,Loyal Customer,33,Personal Travel,Eco,1949,0,2,0,3,5,0,2,5,3,2,4,3,3,5,0,0
124725,satisfied,Female,Loyal Customer,64,Personal Travel,Eco,419,0,2,0,3,3,4,3,1,1,0,1,3,1,1,0,0
80741,satisfied,Female,Loyal Customer,37,Personal Travel,Eco,1571,0,2,0,3,3,0,3,3,3,5,4,4,4,3,0,0
1738,satisfied,Male,Loyal Customer,61,Personal Travel,Eco,1119,0,2,0,3,3,,3,3,2,1,4,3,4,3,2,0
14510,satisfied,Male,Loyal Customer,,Personal Travel,Eco,1190,0,2,0,3,1,0,1,1,1,5,3,2,3,1,0,0
116046,satisfied,Female,Loyal Customer,28,Personal Travel,Eco,1844,0,2,0,3,4,0,4,4,2,5,4,3,3,4,1,0
111056,satisfied,Male,Loyal Customer,26,Personal Travel,Eco,959,0,2,0,3,3,0,3,3,3,4,3,2,4,3,0,0
86233,satisfied,Female,Loyal Customer,41,Personal Travel,Eco,2109,0,2,0,3,5,0,5,5,2,5,4,1,4,5,0,0
19093,satisfied,Female,Loyal Customer,57,Personal Travel,Eco,317,0,2,0,3,5,2,3,1,1,,1,4,1,4,0,0
1121,satisfied,Male,Loyal Customer,47,Personal Travel,Eco,1977,0,2,0,3,2,0,2,2,2,2,2,4,,2,0,0
8708,satisfied,Female,Loyal Customer,61,Personal Travel,Eco,291,0,2,0,3,1,3,,2,2,0,2,1,2,1,0,2
34460,satisfied,Female,Loyal Customer,29,Personal Travel,Eco,1820,0,2,0,3,1,0,1,1,2,1,3,1,3,1,0,0
1063,satisfied,Male,Loyal Customer,67,Personal Travel,Eco,1721,0,,0,3,,0,5,5,4,1,3,3,4,5,9,0
61021,satisfied,Female,Loyal Customer,21,Personal Travel,Eco,4804,0,2,0,4,5,0,5,5,4,1,4,2,3,5,20,
80199,satisfied,Male,Loyal Customer,26,Personal Travel,Eco,3466,0,2,0,4,2,0,2,2,3,1,,2,4,2,0,0
54327,satisfied,Male,Loyal Customer,30,Personal Travel,Eco,2825,0,2,0,4,1,0,1,1,4,1,2,2,3,1,0,0
29656,satisfied,Male,Loyal Customer,36,Personal Travel,Eco,2561,0,2,0,4,2,0,2,2,2,2,2,4,4,2,0,0
126608,satisfied,Male,Loyal Customer,49,Personal Travel,Eco,2762,0,2,0,4,2,0,4,2,4,1,4,3,4,2,,15
60175,satisfied,Female,Loyal Customer,49,Personal Travel,Eco,1184,0,2,0,4,1,,4,3,3,2,3,2,3,2,12,0
111455,satisfied,Female,Loyal Customer,48,Personal Travel,Eco,1066,0,2,0,4,5,4,4,2,2,0,2,3,2,1,14,7
14589,satisfied,Female,Loyal Customer,17,Personal Travel,Eco,1740,0,2,0,4,3,0,3,3,4,3,3,2,4,3,0,0
79999,satisfied,Female,Loyal Customer,10,Personal Travel,Eco,1970,0,2,0,4,3,0,3,3,1,3,4,4,3,3,0,0
35427,satisfied,Female,Loyal Customer,55,Personal Travel,Eco,994,0,2,0,4,2,4,3,3,3,0,3,1,3,3,68,80
56786,satisfied,Male,Loyal Customer,48,Personal Travel,Eco Plus,2391,0,2,0,4,1,0,1,,3,,3,3,4,1,0,0
75763,satisfied,Male,Loyal Customer,58,Personal Travel,Eco,2032,0,2,0,4,4,0,4,4,3,5,2,2,4,4,0,0
41747,satisfied,Female,Loyal Customer,,Personal Travel,Eco,726,0,2,0,4,3,3,4,5,5,0,5,2,5,2,0,1
43969,satisfied,Male,Loyal Customer,31,Personal Travel,Eco,2206,0,2,0,4,4,0,4,4,1,1,2,4,3,4,0,0
3099,satisfied,Female,Loyal Customer,25,Personal Travel,Eco,2268,0,2,0,4,,2,2,2,4,3,3,2,4,2,0,3
96249,satisfied,Male,Loyal Customer,29,Personal Travel,Eco,1743,0,2,0,4,5,0,5,5,3,2,4,4,4,,0,0
99815,satisfied,Female,Loyal Customer,68,Personal Travel,Business,503,0,2,0,4,5,3,3,4,4,0,4,1,4,2,0,0
1832,satisfied,Female,Loyal Customer,48,Personal Travel,Eco,457,0,2,0,4,5,4,4,4,4,0,4,4,4,3,0,0
103701,satisfied,Male,Loyal Customer,54,Personal Travel,Eco,1200,0,2,0,4,4,0,4,4,4,1,3,4,4,4,0,0
118695,satisfied,Male,Loyal Customer,68,Personal Travel,Eco,1732,0,2,0,4,4,0,4,4,3,2,3,2,3,4,,0
94095,satisfied,Female,Loyal Customer,63,Personal Travel,Business,296,0,2,0,4,1,,3,1,1,0,1,3,1,1,0,0
113631,satisfied,Female,Loyal Customer,28,Personal Travel,Eco,2096,0,2,0,4,4,0,4,4,3,1,4,3,3,4,1,0
2594,satisfied,Female,Loyal Customer,63,Personal Travel,Eco,231,0,2,0,4,2,4,3,4,4,0,5,4,4,2,0,0
39875,satisfied,Female,Loyal Customer,26,Personal Travel,Eco,1636,0,2,0,4,5,0,5,5,2,5,3,4,,5,0,0
87885,satisfied,Female,Loyal Customer,11,Personal Travel,Eco Plus,1394,0,2,0,4,3,0,3,3,2,1,3,2,4,3,0,0
89437,satisfied,Female,Loyal Customer,16,Personal Travel,Eco,1399,0,2,0,4,5,0,5,5,2,1,3,1,3,5,0,0
44540,satisfied,Male,Loyal Customer,49,Personal Travel,Eco,1282,0,2,0,4,2,0,2,2,1,2,4,2,4,2,0,0
50662,satisfied,Male,Loyal Customer,,Personal Travel,Eco,2008,0,2,0,4,2,0,2,2,4,4,3,1,4,2,0,0
80670,satisfied,Female,Loyal Customer,62,Personal Travel,Eco,832,0,2,1,2,1,2,3,2,2,1,2,4,2,3,0,0
67280,satisfied,Female,Loyal Customer,18,Personal Travel,Eco,2441,0,2,1,4,,1,1,,2,,2,2,3,1,13,4
75052,satisfied,Male,Loyal Customer,24,Personal Travel,Eco,3219,0,3,0,1,3,0,,3,4,2,5,5,5,3,93,86
53389,satisfied,Male,Loyal Customer,12,Personal Travel,Eco,2794,0,3,0,1,3,0,3,3,3,2,4,2,2,3,14,1
13363,satisfied,Female,Loyal Customer,39,Personal Travel,Eco,2274,0,3,0,1,2,0,1,2,5,2,1,2,2,2,0,0
39601,satisfied,Male,Loyal Customer,46,Personal Travel,Eco,2179,0,3,0,1,5,0,3,5,1,5,1,3,2,5,0,0
124382,satisfied,Male,Loyal Customer,55,Personal Travel,Eco,1656,0,3,0,1,4,0,4,4,3,1,3,3,3,4,,0
70163,satisfied,Female,Loyal Customer,18,Personal Travel,Eco,2411,0,3,0,1,3,,5,3,2,3,4,2,1,3,0,0
122382,satisfied,Male,Loyal Customer,7,Personal Travel,Eco,1817,0,3,0,1,1,0,1,1,1,2,,1,3,1,1,5
6189,satisfied,Male,Loyal Customer,13,Personal Travel,Eco,1644,0,3,0,1,2,0,2,2,2,1,3,5,1,2,0,0
44443,satisfied,Male,Loyal Customer,62,Personal Travel,Eco,1595,0,3,0,1,1,0,1,1,1,3,5,5,2,1,0,0
119423,satisfied,Female,Loyal Customer,49,Personal Travel,Eco,427,0,3,0,1,2,4,3,1,1,0,1,2,1,3,0,0
86916,satisfied,Female,Loyal Customer,36,Personal Travel,Eco,1713,0,3,0,1,1,0,4,1,2,5,1,3,4,1,0,0
54214,satisfied,Male,Loyal Customer,44,Personal Travel,Eco Plus,2680,0,3,0,2,1,0,1,1,5,5,1,2,1,1,7,0
81056,satisfied,Female,Loyal Customer,27,Personal Travel,Eco,2743,0,3,0,2,4,0,4,4,1,2,2,4,3,4,0,2
67262,satisfied,Female,Loyal Customer,9,Personal Travel,Eco,1900,0,3,0,2,4,0,4,4,2,1,3,1,3,4,0,0
56666,satisfied,Male,Loyal Customer,51,Personal Travel,Eco,2719,0,3,0,2,,0,3,,3,,2,2,2,3,29,13
70703,satisfied,Female,Loyal Customer,,Personal Travel,Eco,1866,0,3,0,2,2,0,2,2,3,3,3,2,3,2,0,0
108623,satisfied,Female,Loyal Customer,47,Personal Travel,Eco,706,0,3,0,2,2,3,5,2,2,0,2,1,2,4,0,0
18901,satisfied,Female,Loyal Customer,48,Personal Travel,Eco,538,0,3,0,2,3,2,2,5,5,0,5,1,5,3,66,57
128921,satisfied,Male,Loyal Customer,15,Personal Travel,Business,1583,0,3,0,2,2,0,2,2,4,4,2,4,3,2,0,0
103705,satisfied,Female,Loyal Customer,7,Personal Travel,Eco,1890,0,3,0,2,1,0,,1,2,2,5,1,2,1,,0
33030,satisfied,Male,Loyal Customer,62,Personal Travel,Eco,1008,0,3,0,2,3,,3,3,1,4,4,2,,3,0,2
63808,satisfied,Female,Loyal Customer,42,Personal Travel,Eco,2768,0,3,0,3,5,5,5,5,5,0,5,3,5,3,0,0
72095,satisfied,Female,Loyal Customer,64,Personal Travel,Eco,2573,0,3,0,3,4,3,4,2,2,0,2,2,2,3,0,0
61866,satisfied,Male,Loyal Customer,53,Personal Travel,Business,2522,0,3,0,3,2,4,4,3,3,3,3,3,3,1,0,3
58970,satisfied,Female,Loyal Customer,42,Personal Travel,Business,1794,0,3,0,3,5,,4,4,4,0,4,3,4,,10,0
127904,satisfied,Female,Loyal Customer,22,Personal Travel,Eco,2676,0,3,0,3,3,0,3,3,2,3,1,3,1,3,12,5
55849,satisfied,Male,Loyal Customer,19,Personal Travel,Eco,3109,0,3,0,3,4,0,4,4,2,2,4,3,4,4,0,0
108201,satisfied,Male,Loyal Customer,28,Personal Travel,Eco Plus,2035,0,3,0,3,1,0,4,1,2,1,3,3,3,1,7,0
68417,satisfied,Female,Loyal Customer,61,Personal Travel,Eco,1076,0,3,0,3,2,3,2,4,4,0,4,4,4,5,0,3
65748,satisfied,Female,Loyal Customer,62,Personal Travel,Eco,953,0,3,0,3,1,2,1,3,3,0,3,4,3,3,0,0
41680,satisfied,Male,Loyal Customer,,Personal Travel,Eco,2858,0,3,0,3,5,0,5,,3,3,4,4,3,5,0,14
